primaryTitle,genres,directors,writers,averageRating,numVotes
The Birth of a Nation,"Drama,History,War",nm0000428,"nm0228746,nm0000428,nm0940488",6.3,22720
Intolerance: Love's Struggle Throughout the Ages,"Drama,History",nm0000428,"nm0048512,nm0115218,nm0000428,nm0002616,nm0640437,nm1578667,nm0940488",7.7,14226
The Cabinet of Dr. Caligari,"Fantasy,Horror,Mystery",nm0927468,"nm0562346,nm0417917",8.1,57353
The Kid,"Comedy,Drama,Family",nm0000122,nm0000122,8.3,113099
The Phantom Carriage,"Drama,Fantasy,Horror",nm0803705,"nm0481248,nm0803705",8.1,10664
Häxan,"Documentary,Fantasy,History",nm0159725,nm0159725,7.7,12423
Nanook of the North,Documentary,nm0280904,"nm0280878,nm0280904",7.6,10896
Nosferatu,"Fantasy,Horror",nm0003638,"nm0301961,nm0831290",7.9,88712
Our Hospitality,"Comedy,Romance,Thriller","nm0000036,nm0090007","nm0369841,nm0115669,nm0593477",7.8,10200
Safety Last!,"Action,Comedy,Thriller","nm0628345,nm0853130","nm0730018,nm0853130,nm0924065,nm0907778,nm0369841,nm0516001",8.1,18392
The Last Laugh,Drama,nm0003638,nm0562346,8.1,12635
Sherlock Jr.,"Action,Comedy,Romance",nm0000036,"nm0369841,nm0593477,nm0115669",8.2,41890
Battleship Potemkin,"Drama,History,Thriller",nm0001178,"nm0012810,nm0001178,nm0017893,nm0038595,nm0872308",8.0,53003
The Gold Rush,"Adventure,Comedy,Drama",nm0000122,nm0000122,8.2,100885
The Phantom of the Opera,Horror,"nm0432216,nm0151606,nm0480677,nm0781292","nm0503693,nm0031033,nm0165470,nm0566338,nm0566439,nm0715723,nm0775419,nm0908831,nm1541473",7.6,16735
Faust,"Drama,Fantasy,Horror",nm0003638,"nm0369458,nm0477515,nm0324473",8.1,13929
The Lodger: A Story of the London Fog,"Crime,Drama,Mystery",nm0000033,"nm0523269,nm0822627,nm0000033",7.3,10394
Metropolis,"Drama,Sci-Fi",nm0000485,"nm0902376,nm0000485",8.3,159809
The General,"Action,Adventure,Comedy","nm0000036,nm0115669","nm0000036,nm0115669,nm0090213,nm0807667,nm0685904,nm0809548",8.1,81045
Sunrise,"Drama,Romance",nm0003638,"nm0562346,nm0837183,nm0385012,nm0129721",8.1,46832
